datetime,unique_id,temp,humidity,decibels,latitude,longitude,last_fix,status
2025-10-31 21:48:30,device_0,24.80,55.00,40.73,-1.00000000,-1.00000000,-1.00,OK
2025-10-31 21:48:35,device_0,25.20,56.60,40.41,-1.00000000,-1.00000000,-1.00,OK
2025-10-31 21:48:40,device_0,25.30,58.00,40.63,-1.00000000,-1.00000000,-1.00,OK
2025-10-31 21:48:45,device_0,25.30,58.00,42.04,-1.00000000,-1.00000000,-1.00,OK
2025-10-31 21:48:50,device_0,25.30,58.00,40.98,-1.00000000,-1.00000000,-1.00,OK
2025-10-31 21:48:55,device_0,25.34,58.40,47.88,-1.00000000,-1.00000000,-1.00,OK
2025-10-31 21:49:00,device_0,25.80,59.00,63.88,-1.00000000,-1.00000000,-1.00,OK
2025-10-31 21:49:05,device_0,25.80,59.00,40.80,-1.00000000,-1.00000000,-1.00,OK
2025-10-31 21:53:04,device_0,26.20,59.00,35.60,-1.00000000,-1.00000000,-1.00,OK
2025-10-31 21:53:09,device_0,26.20,59.00,36.16,-1.00000000,-1.00000000,-1.00,OK
2025-10-31 21:53:10,device_0,26.20,60.00,42.64,-1.00000000,-1.00000000,-1.00,EMERGENCY
2025-10-31 21:53:13,device_0,26.20,60.00,42.69,-1.00000000,-1.00000000,-1.00,EMERGENCY
2025-10-31 21:53:18,device_0,26.20,60.00,41.83,-1.00000000,-1.00000000,-1.00,EMERGENCY
2025-10-31 21:53:23,device_0,26.20,60.00,42.49,-1.00000000,-1.00000000,-1.00,EMERGENCY
2025-10-31 21:53:28,device_0,26.20,60.00,42.12,-1.00000000,-1.00000000,-1.00,EMERGENCY
2025-10-31 21:53:33,device_0,26.20,60.00,42.12,-1.00000000,-1.00000000,-1.00,EMERGENCY
2025-10-31 21:53:38,device_0,26.20,60.00,43.45,-1.00000000,-1.00000000,-1.00,EMERGENCY
2025-10-31 21:53:44,device_0,26.28,60.00,42.90,-1.00000000,-1.00000000,-1.00,EMERGENCY
2025-10-31 21:53:49,device_0,26.58,60.00,42.78,-1.00000000,-1.00000000,-1.00,EMERGENCY
2025-10-31 21:53:53,device_0,26.70,60.00,42.82,-1.00000000,-1.00000000,-1.00,EMERGENCY
2025-10-31 21:53:58,device_0,26.70,60.00,41.71,-1.00000000,-1.00000000,-1.00,OK
2025-10-31 21:54:03,device_0,26.70,60.00,41.97,-1.00000000,-1.00000000,-1.00,OK
2025-10-31 21:54:09,device_0,26.70,60.00,40.67,-1.00000000,-1.00000000,-1.00,OK
2025-10-31 21:54:13,device_0,26.70,60.00,39.91,-1.00000000,-1.00000000,-1.00,OK
2025-10-31 21:54:18,device_0,26.70,60.00,42.27,-1.00000000,-1.00000000,-1.00,OK
2025-10-31 21:54:23,device_0,26.70,60.00,41.06,-1.00000000,-1.00000000,-1.00,OK
2025-10-31 21:54:28,device_0,26.70,60.00,40.77,-1.00000000,-1.00000000,-1.00,OK
